imdb_id,title,popular_rank,certificate,startYear,endYear,episodes,runtime,type,orign_country,language,rating,numVotes,genres,isAdult,cast,image_url
tt4052886,Lucifer,1,15,2016.0,,93.0,42,tvSeries,United States,English,8.1,250884.0,"Crime,Drama,Fantasy",0,"['Tom Ellis', 'Lauren German', 'Lesley-Ann Brandt', 'Kevin Alejandro', 'D.B. Woodside', 'Rachael Harris', 'Scarlett Estevez', 'Aimee Garcia', 'Tricia Helfer', 'Tom Welling', 'Inbar Lavi', 'Kevin Rankin', 'Graham McTavish', 'Dennis Haysbert', 'Genevieve Gauss', 'John Specogna', 'Jeremiah Birkett', 'Cailan Robinson']",https://m.media-amazon.com/images/M/MV5BNzY1YjIxOGMtOTAyZC00YTcyLWFhMzQtZTJkYTljYzU0MGRlXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_FMjpg_UX1000_.jpg
tt0993840,Army of the Dead,2,18,2021.0,,,148,movie,United States,English,5.8,110780.0,"Action,Crime,Horror",0,"['Dave Bautista', 'Ella Purnell', 'Ana de la Reguera', 'Omari Hardwick', 'Theo Rossi', 'Matthias Schweighöfer', 'Nora Arnezeder', 'Hiroyuki Sanada', 'Garret Dillahunt', 'Tig Notaro', 'Raúl Castillo', 'Huma Qureshi', 'Samantha Win', 'Richard Cetrone', 'Michael Cassidy', 'Steve Corona', 'Chelsea Edmundson', 'Zach Rose']",https://m.media-amazon.com/images/M/MV5BNGY0NzgzYzctYWQwMC00MzM2LThjNGMtZjFjMWUyNzg0ZmM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg
tt7255502,The Kominsky Method,3,18,2018.0,2021.0,22.0,30,tvSeries,United States,English,8.2,28795.0,"Comedy,Drama",0,"['Michael Douglas', 'Sarah Baker', 'Graham Rogers', 'Melissa Tang', 'Jenna Lyng Adams', 'Casey Thomas Brown', 'Alan Arkin', 'Nancy Travis', 'Lisa Edelstein', 'Emily Osment', 'Ashleigh LaThrop', 'Paul Reiser', 'Ramon Hilario', 'Susan Sullivan', 'Jane Seymour', 'Haley Joel Osment', 'Kathleen Turner', 'Cedric Begley']",https://m.media-amazon.com/images/M/MV5BMzA0YTNjOTAtNmVkZi00YjBkLTgyZDItOTFmMzQ0N2E4ZDNiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
tt0108778,Friends,4,13+,1994.0,2004.0,235.0,22,tvSeries,United States,English,8.9,861843.0,"Comedy,Romance",0,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc', 'Matthew Perry', 'David Schwimmer', 'James Michael Tyler', 'Elliott Gould', 'Christina Pickles', 'Maggie Wheeler', 'Paul Rudd', 'Jane Sibbett', 'Helen Baxendale', 'Jessica Hecht', 'June Gable', 'Tom Selleck', 'Aisha Tyler', 'Giovanni Ribisi']",https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
tt9251798,Ragnarok,5,18,2020.0,,12.0,45,tvSeries,Norway,Norwegian,7.5,26606.0,"Action,Drama,Fantasy",0,"['David Stakston', 'Jonas Strand Gravli', 'Herman Tømmeraas', 'Theresa Frostad Eggesbø', 'Synnøve Macody Lund', 'Henriette Steenstrup', 'Jeppe Beck Laursen', 'Emma Bones', 'Gísli Örn Garðarsson', 'Tani Dibasey', 'Kornelia Eline Skogseth', 'Odd-Magnus Williamson', 'Danu Sunth', 'Eli Anne Linnestad', 'Karoline Petronella Ulfsdatter Schau', 'Bjørn Sundquist', 'Rozerin Algunerhan', 'Iselin Shumba Skjævesland']",https://m.media-amazon.com/images/M/MV5BODM3NTZkZTUtYzEyYS00NjEyLTg2NjEtNDhlMjYwY2ZkNGUzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
tt5028002,StartUp,6,18,2016.0,2018.0,30.0,44,tvSeries,United States,English,8.0,16980.0,"Crime,Thriller",0,"['Adam Brody', 'Edi Gathegi', 'Otmara Marrero', 'Kristen Ariza', 'Fredrick Bam Scott', 'Martin Freeman', 'Ron Perlman', 'Jared Wofford', 'Génesis Castro Díaz', 'Jevon White', 'Addison Timlin', 'Reina Hardesty', 'Tony Plana', 'Vera Cherny', 'Kelvin Harrison Jr.', 'Mira Sorvino', 'Aaron Yoo', 'Quinton DuBose']",https://m.media-amazon.com/images/M/MV5BMTAxNTIwNzE5MTJeQTJeQWpwZ15BbWU4MDE2NDQ2MTMy._V1_FMjpg_UX1000_.jpg
tt0413573,Grey's Anatomy,7,15+,2005.0,,381.0,41,tvSeries,United States,English,7.5,260703.0,"Drama,Romance",0,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers', 'Kevin McKidd', 'Jesse Williams', 'Bokhee An', 'Patrick Dempsey', 'Sara Ramirez', 'Jessica Capshaw', 'Sandra Oh', 'Camilla Luddington', 'Sarah Drew', 'Caterina Scorsone', 'Kelly McCreary', 'Eric Dane', 'Jason George', 'Giacomo Gianniotti']",https://m.media-amazon.com/images/M/MV5BMjgwNGNkZGYtMWQyYS00YjEzLWFmZTctODUzYWMxOWJkNTAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg
tt12809988,Sweet Tooth,8,16,2021.0,,8.0,\N,tvSeries,United States,English,8.2,9622.0,"Action,Adventure,Drama",0,"['Nonso Anozie', 'Christian Convery', 'Stefania LaVie Owen', 'Dania Ramirez', 'James Brolin', 'Adeel Akhtar', 'Aliza Vellani', 'Naledi Murray', 'Will Forte', 'Alice May Connolly', 'Neil Sandilands', 'Dallas Barnett', 'Conan Hayes', 'Sarah Peirse', 'Jodie Rimmer', 'Amy Seimetz', 'Nixon Bingley', 'Ava Diakhaby']",https://m.media-amazon.com/images/M/MV5BOTk4ZDRhYzEtZWExNy00MjIyLTgyYmMtN2Y2MzA4YzZhZTZmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg
tt2741602,The Blacklist,9,16+,2013.0,,175.0,43,tvSeries,United States,English,8.0,207174.0,"Crime,Drama,Mystery",0,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold', 'Harry Lennix', 'Hisham Tawfiq', 'Amir Arison', 'Mozhan Marnò', 'Laura Sohn', 'Susan Blommaert', 'Baz', 'Parminder Nagra', 'Teddy Coluca', 'Genson Blimline', 'Deirdre Lovejoy', 'Emily Kell', 'Jonathan Holtzman', 'Katherine Kell']",https://m.media-amazon.com/images/M/MV5BZDA1MzE3M2EtNTE4Ni00OGE4LWE1NjctYzFhMzA2NDgxMDIxXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_FMjpg_UX1000_.jpg
tt5774002,Jupiter's Legacy,10,18,2021.0,2021.0,8.0,56,tvSeries,United States,English,6.8,27309.0,"Action,Adventure,Drama",0,"['Josh Duhamel', 'Ben Daniels', 'Leslie Bibb', 'Andrew Horton', 'Elena Kampouris', 'Mike Wade', 'Matt Lanter', 'Richard Blackburn', 'David Julian Hirsh', 'Tyler Mane', 'Meg Steedle', 'Ian Quinlan', 'Tenika Davis', 'Gracie Dzienny', 'Conrad Coates', 'Aiza Ntibarikure', 'Tyrone Benskin', 'Kurtwood Smith']",https://m.media-amazon.com/images/M/MV5BMDU4MWViOGItZGJjYi00YjczLTk1YmMtY2ZmNmY4YTllNDA0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
tt7945720,Dirty John,11,16,2018.0,,16.0,44,tvSeries,United States,English,7.2,16578.0,"Crime,Drama",0,"['Connie Britton', 'Christian Slater', 'Eric Bana', 'Amanda Peet', 'Rachel Keller', 'Julia Garner', 'Holley Fain', 'Lena Georgas', 'Juno Temple', 'Anna Jacoby-Heron', 'Lily Donoghue', 'Missi Pyle', 'Cliff Chamberlain', 'Emily Bergl', 'Cameron Crovetti', 'Miles Emmons', 'Jean Smart', 'Joelle Carter']",https://m.media-amazon.com/images/M/MV5BNmJhYTVjNzUtNjJiZi00MWFhLTg4MWUtMzNiMGEwMmVkYWY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
